X,Y,Date,ConfirmedCovidCases,TotalConfirmedCovidCases,ConfirmedCovidDeaths,TotalCovidDeaths,StatisticsProfileDate,CovidCasesConfirmed,HospitalisedCovidCases,RequiringICUCovidCases,HealthcareWorkersCovidCases,ClustersNotified,HospitalisedAged5,HospitalisedAged5to14,HospitalisedAged15to24,HospitalisedAged25to34,HospitalisedAged35to44,HospitalisedAged45to54,HospitalisedAged55to64,HospitalisedAged65up,Male,Female,Unknown,Aged1to4,Aged5to14,Aged15to24,Aged25to34,Aged35to44,Aged45to54,Aged55to64,Aged65up,Median_Age,CommunityTransmission,CloseContact,TravelAbroad,FID
-856335.869598373,7036492.39571864,2021/03/15 00:00:00+00,575,227316,0,4534,2021/03/13 00:00:00+00,226707,13133,1395,27836,0,153,117,507,827,996,1486,1833,7210,107824,118802,81,6361,14400,40046,40188,36388,33971,25600,29709,31,0,0,0,379
-856335.869598373,7036492.39571864,2021/03/16 00:00:00+00,349,227663,18,4552,2021/03/14 00:00:00+00,227282,13157,1398,27847,0,153,117,508,830,998,1489,1836,7222,108115,119086,81,6411,14496,40137,40277,36482,34038,25643,29754,30,0,0,0,380
-856335.869598373,7036492.39571864,2021/03/17 00:00:00+00,557,228215,17,4566,2021/03/15 00:00:00+00,227628,13202,1398,27859,0,153,117,510,831,1005,1492,1840,7250,108285,119262,81,6431,14546,40191,40334,36543,34070,25667,29802,33,0,0,0,381
-856335.869598373,7036492.39571864,2021/03/18 00:00:00+00,582,228796,0,4566,2021/03/16 00:00:00+00,228185,13232,1401,27882,0,155,117,512,833,1007,1493,1842,7269,108547,119557,81,6494,14634,40275,40425,36627,34133,25703,29850,29,0,0,0,382
-856335.869598373,7036492.39571864,2021/03/19 00:00:00+00,507,229306,10,4576,2021/03/17 00:00:00+00,228761,13254,1401,27904,0,156,118,514,835,1012,1495,1842,7278,108835,119845,81,6545,14718,40357,40524,36740,34205,25746,29882,32,0,0,0,383
-856335.869598373,7036492.39571864,2021/03/20 00:00:00+00,525,229831,9,4585,2021/03/18 00:00:00+00,229264,13287,1407,27913,0,157,118,516,836,1016,1499,1848,7293,109082,120101,81,6583,14797,40423,40609,36826,34267,25782,29933,33,0,0,0,384
-856335.869598373,7036492.39571864,2021/03/21 00:00:00+00,769,230599,2,4587,2021/03/19 00:00:00+00,229786,13325,1409,27930,0,157,118,517,839,1017,1502,1855,7316,109339,120365,82,6631,14869,40486,40689,36918,34330,25829,29990,34,0,0,0,385
-856335.869598373,7036492.39571864,2021/03/22 00:00:00+00,520,231119,1,4588,2021/03/20 00:00:00+00,230551,13358,1410,27951,0,157,120,519,841,1018,1506,1860,7333,109721,120744,86,6704,14977,40588,40836,37058,34403,25883,30058,32,0,0,0,386
-856335.869598373,7036492.39571864,2021/03/23 00:00:00+00,371,231484,24,4610,2021/03/21 00:00:00+00,231070,13373,1410,27965,0,157,121,521,842,1021,1506,1862,7339,109978,121006,86,6773,15075,40656,40916,37152,34454,25906,30094,28,0,0,0,387
-856335.869598373,7036492.39571864,2021/03/24 00:00:00+00,683,232164,18,4628,2021/03/22 00:00:00+00,231442,13391,1410,27972,0,158,123,523,843,1023,1507,1865,7345,110162,121194,86,6810,15157,40696,40973,37217,34495,25933,30117,30,0,0,0,388
-856335.869598373,7036492.39571864,2021/03/25 00:00:00+00,606,232758,3,4631,2021/03/23 00:00:00+00,232124,13414,1410,27996,0,158,124,523,846,1026,1508,1870,7355,110486,121552,86,6866,15270,40791,41090,37349,34563,25987,30164,32,0,0,0,389
-856335.869598373,7036492.39571864,2021/03/26 00:00:00+00,584,233327,20,4651,2021/03/24 00:00:00+00,232729,13434,1411,28010,0,159,124,524,846,1028,1510,1872,7367,110784,121858,87,6908,15369,40875,41201,37466,34621,26036,30209,33,0,0,0,390
-856335.869598373,7036492.39571864,2021/03/27 00:00:00+00,624,233937,2,4653,2021/03/25 00:00:00+00,233313,13460,1411,28023,0,162,125,526,847,1033,1510,1876,7377,111082,122144,87,6960,15440,40969,41280,37591,34689,26076,30264,34,0,0,0,391
